cell,leg,rep,nul,pos,con,read,inp,spell,outcome,msg,expected
c00078,A,i32,0,elem,printdirect,print,0,inline,correct,,7|1
c00079,A,i32,0,elem,printdirect,print,1,inline,correct,,8|1
c00080,A,i32,0,mapval,direct,print,0,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
c00081,A,i32,0,mapval,direct,print,1,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",8|1
c00082,A,i32,0,mapval,is_t,print,0,inline,loud_emit_reject,emitProgram: `is` test but no union type declared,7|1
c00083,A,i32,0,mapval,is_t,print,1,inline,loud_emit_reject,emitProgram: `is` test but no union type declared,8|1
c00084,A,i32,0,mapval,eqcmp,print,0,inline,correct,,true|1
c00085,A,i32,0,mapval,eqcmp,print,1,inline,correct,,false|1
c00086,A,i32,0,mapval,coalesce,print,0,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,7|1
c00087,A,i32,0,mapval,coalesce,print,1,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,8|1
c00088,A,i32,0,mapval,printdirect,print,0,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
c00089,A,i32,0,mapval,printdirect,print,1,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",8|1
c00090,A,i32,0,capture,direct,print,0,inline,correct,,7|1
c00091,A,i32,0,capture,direct,print,1,inline,correct,,8|1
c00092,A,i32,0,capture,is_t,print,0,inline,correct,,7|1
c00093,A,i32,0,capture,is_t,print,1,inline,correct,,8|1
c00094,A,i32,0,capture,eqcmp,print,0,inline,correct,,true|1
c00095,A,i32,0,capture,eqcmp,print,1,inline,correct,,false|1
c00096,A,i32,0,capture,coalesce,print,0,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,7|1
c00097,A,i32,0,capture,coalesce,print,1,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,8|1
c00098,A,i32,0,capture,printdirect,print,0,inline,correct,,7|1
c00099,A,i32,0,capture,printdirect,print,1,inline,correct,,8|1
c00100,A,i32,0,loopvar,direct,print,0,inline,correct,,7|1
c00101,A,i32,0,loopvar,direct,print,1,inline,correct,,8|1
c00102,A,i32,0,loopvar,is_t,print,0,inline,correct,,7|1
c00103,A,i32,0,loopvar,is_t,print,1,inline,correct,,8|1
c00104,A,i32,0,loopvar,eqcmp,print,0,inline,correct,,true|1
c00105,A,i32,0,loopvar,eqcmp,print,1,inline,correct,,false|1
c00106,A,i32,0,loopvar,coalesce,print,0,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,7|1
c00107,A,i32,0,loopvar,coalesce,print,1,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,8|1
c00108,A,i32,0,loopvar,printdirect,print,0,inline,correct,,7|1
c00109,A,i32,0,loopvar,printdirect,print,1,inline,correct,,8|1
c00110,A,i32,1,const_local,nenull,print,0,inline,correct,,7|1
c00111,A,i32,1,const_local,nenull,print,1,inline,correct,,NUL|1
c00112,A,i32,1,const_local,eqnull_else,print,0,inline,correct,,7|1
c00113,A,i32,1,const_local,eqnull_else,print,1,inline,correct,,NUL|1
c00114,A,i32,1,const_local,is_t,print,0,inline,correct,,7|1
c00115,A,i32,1,const_local,is_t,print,1,inline,correct,,NUL|1
c00116,A,i32,1,const_local,match_null,print,0,inline,correct,,7|1
c00117,A,i32,1,const_local,match_null,print,1,inline,correct,,NUL|1
c00118,A,i32,1,const_local,andguard,print,0,inline,correct,,true|1
c00119,A,i32,1,const_local,andguard,print,1,inline,correct,,false|1
c00120,A,i32,1,const_local,coalesce,print,0,inline,correct,,7|1
c00121,A,i32,1,const_local,coalesce,print,1,inline,correct,,0|1
c00122,A,i32,1,const_local,printdirect,print,0,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
c00123,A,i32,1,const_local,printdirect,print,1,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",null|1
c00124,A,i32,1,const_local,eqnullcmp,print,0,inline,correct,,false|1
c00125,A,i32,1,const_local,eqnullcmp,print,1,inline,correct,,true|1
c00126,A,i32,1,const_local,while_g,print,0,inline,correct,,7|1
c00127,A,i32,1,const_local,while_g,print,1,inline,correct,,NUL|1
c00128,A,i32,1,let_local,nenull,print,0,inline,correct,,7|1
c00129,A,i32,1,let_local,nenull,print,1,inline,correct,,NUL|1
c00130,A,i32,1,let_local,eqnull_else,print,0,inline,correct,,7|1
c00131,A,i32,1,let_local,eqnull_else,print,1,inline,correct,,NUL|1
c00132,A,i32,1,let_local,is_t,print,0,inline,correct,,7|1
c00133,A,i32,1,let_local,is_t,print,1,inline,correct,,NUL|1
c00134,A,i32,1,let_local,match_null,print,0,inline,correct,,7|1
c00135,A,i32,1,let_local,match_null,print,1,inline,correct,,NUL|1
c00136,A,i32,1,let_local,andguard,print,0,inline,correct,,true|1
c00137,A,i32,1,let_local,andguard,print,1,inline,correct,,false|1
c00138,A,i32,1,let_local,coalesce,print,0,inline,correct,,7|1
c00139,A,i32,1,let_local,coalesce,print,1,inline,correct,,0|1
c00140,A,i32,1,let_local,printdirect,print,0,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
c00141,A,i32,1,let_local,printdirect,print,1,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",null|1
c00142,A,i32,1,let_local,eqnullcmp,print,0,inline,correct,,false|1
c00143,A,i32,1,let_local,eqnullcmp,print,1,inline,correct,,true|1
c00144,A,i32,1,let_local,while_g,print,0,inline,correct,,7|1
c00145,A,i32,1,let_local,while_g,print,1,inline,correct,,NUL|1
c00146,A,i32,1,param,nenull,print,0,inline,correct,,7|1
c00147,A,i32,1,param,nenull,print,1,inline,correct,,NUL|1
c00148,A,i32,1,param,eqnull_else,print,0,inline,correct,,7|1
c00149,A,i32,1,param,eqnull_else,print,1,inline,correct,,NUL|1
c00150,A,i32,1,param,is_t,print,0,inline,correct,,7|1
c00151,A,i32,1,param,is_t,print,1,inline,correct,,NUL|1
c00152,A,i32,1,param,match_null,print,0,inline,correct,,7|1
c00153,A,i32,1,param,match_null,print,1,inline,correct,,NUL|1
c00154,A,i32,1,param,andguard,print,0,inline,correct,,true|1
c00155,A,i32,1,param,andguard,print,1,inline,correct,,false|1
c00156,A,i32,1,param,coalesce,print,0,inline,correct,,7|1
c00157,A,i32,1,param,coalesce,print,1,inline,correct,,0|1
c00158,A,i32,1,param,printdirect,print,0,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
c00159,A,i32,1,param,printdirect,print,1,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",null|1
c00160,A,i32,1,param,eqnullcmp,print,0,inline,correct,,false|1
c00161,A,i32,1,param,eqnullcmp,print,1,inline,correct,,true|1
c00162,A,i32,1,param,while_g,print,0,inline,correct,,7|1
c00163,A,i32,1,param,while_g,print,1,inline,correct,,NUL|1
c00164,A,i32,1,ret_unann,nenull,print,0,inline,correct,,7|1
c00165,A,i32,1,ret_unann,nenull,print,1,inline,correct,,NUL|1
c00166,A,i32,1,ret_unann,eqnull_else,print,0,inline,correct,,7|1
c00167,A,i32,1,ret_unann,eqnull_else,print,1,inline,correct,,NUL|1
c00168,A,i32,1,ret_unann,is_t,print,0,inline,correct,,7|1
c00169,A,i32,1,ret_unann,is_t,print,1,inline,correct,,NUL|1
c00170,A,i32,1,ret_unann,match_null,print,0,inline,correct,,7|1
c00171,A,i32,1,ret_unann,match_null,print,1,inline,correct,,NUL|1
c00172,A,i32,1,ret_unann,andguard,print,0,inline,correct,,true|1
c00173,A,i32,1,ret_unann,andguard,print,1,inline,correct,,false|1
c00174,A,i32,1,ret_unann,coalesce,print,0,inline,correct,,7|1
c00175,A,i32,1,ret_unann,coalesce,print,1,inline,correct,,0|1
c00176,A,i32,1,ret_unann,printdirect,print,0,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
c00177,A,i32,1,ret_unann,printdirect,print,1,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",null|1
c00178,A,i32,1,ret_unann,eqnullcmp,print,0,inline,correct,,false|1
c00179,A,i32,1,ret_unann,eqnullcmp,print,1,inline,correct,,true|1
c00180,A,i32,1,ret_unann,while_g,print,0,inline,correct,,7|1
c00181,A,i32,1,ret_unann,while_g,print,1,inline,correct,,NUL|1
c00182,A,i32,1,ret_ann,nenull,print,0,inline,correct,,7|1
c00183,A,i32,1,ret_ann,nenull,print,1,inline,correct,,NUL|1
c00184,A,i32,1,ret_ann,eqnull_else,print,0,inline,correct,,7|1
c00185,A,i32,1,ret_ann,eqnull_else,print,1,inline,correct,,NUL|1
c00186,A,i32,1,ret_ann,is_t,print,0,inline,correct,,7|1
c00187,A,i32,1,ret_ann,is_t,print,1,inline,correct,,NUL|1
c00188,A,i32,1,ret_ann,match_null,print,0,inline,correct,,7|1
c00189,A,i32,1,ret_ann,match_null,print,1,inline,correct,,NUL|1
c00190,A,i32,1,ret_ann,andguard,print,0,inline,correct,,true|1
c00191,A,i32,1,ret_ann,andguard,print,1,inline,correct,,false|1
c00192,A,i32,1,ret_ann,coalesce,print,0,inline,correct,,7|1
c00193,A,i32,1,ret_ann,coalesce,print,1,inline,correct,,0|1
c00194,A,i32,1,ret_ann,printdirect,print,0,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
c00195,A,i32,1,ret_ann,printdirect,print,1,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",null|1
c00196,A,i32,1,ret_ann,eqnullcmp,print,0,inline,correct,,false|1
c00197,A,i32,1,ret_ann,eqnullcmp,print,1,inline,correct,,true|1
c00198,A,i32,1,ret_ann,while_g,print,0,inline,correct,,7|1
c00199,A,i32,1,ret_ann,while_g,print,1,inline,correct,,NUL|1
c00200,A,i32,1,global,nenull,print,0,inline,correct,,7|1
c00201,A,i32,1,global,nenull,print,1,inline,correct,,NUL|1
c00202,A,i32,1,global,eqnull_else,print,0,inline,correct,,7|1
c00203,A,i32,1,global,eqnull_else,print,1,inline,correct,,NUL|1
c00204,A,i32,1,global,is_t,print,0,inline,correct,,7|1
c00205,A,i32,1,global,is_t,print,1,inline,correct,,NUL|1
c00206,A,i32,1,global,match_null,print,0,inline,correct,,7|1
c00207,A,i32,1,global,match_null,print,1,inline,correct,,NUL|1
c00208,A,i32,1,global,andguard,print,0,inline,correct,,true|1
c00209,A,i32,1,global,andguard,print,1,inline,correct,,false|1
c00210,A,i32,1,global,coalesce,print,0,inline,correct,,7|1
c00211,A,i32,1,global,coalesce,print,1,inline,correct,,0|1
c00212,A,i32,1,global,printdirect,print,0,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
c00213,A,i32,1,global,printdirect,print,1,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",null|1
c00214,A,i32,1,global,eqnullcmp,print,0,inline,correct,,false|1
c00215,A,i32,1,global,eqnullcmp,print,1,inline,correct,,true|1
c00216,A,i32,1,global,while_g,print,0,inline,correct,,7|1
c00217,A,i32,1,global,while_g,print,1,inline,correct,,NUL|1
c00218,A,i32,1,field,nenull,print,0,inline,correct,,7|1
c00219,A,i32,1,field,nenull,print,1,inline,correct,,NUL|1
c00220,A,i32,1,field,eqnull_else,print,0,inline,correct,,7|1
c00221,A,i32,1,field,eqnull_else,print,1,inline,correct,,NUL|1
c00222,A,i32,1,field,is_t,print,0,inline,correct,,7|1
c00223,A,i32,1,field,is_t,print,1,inline,correct,,NUL|1
c00224,A,i32,1,field,match_null,print,0,inline,correct,,7|1
c00225,A,i32,1,field,match_null,print,1,inline,correct,,NUL|1
c00226,A,i32,1,field,andguard,print,0,inline,correct,,true|1
c00227,A,i32,1,field,andguard,print,1,inline,correct,,false|1
c00228,A,i32,1,field,coalesce,print,0,inline,correct,,7|1
c00229,A,i32,1,field,coalesce,print,1,inline,correct,,0|1
c00230,A,i32,1,field,printdirect,print,0,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
c00231,A,i32,1,field,printdirect,print,1,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",null|1
c00232,A,i32,1,field,eqnullcmp,print,0,inline,correct,,false|1
c00233,A,i32,1,field,eqnullcmp,print,1,inline,correct,,true|1
c00234,A,i32,1,field,while_g,print,0,inline,correct,,7|1
c00235,A,i32,1,field,while_g,print,1,inline,correct,,NUL|1
c00236,A,i32,1,elem,nenull,print,0,inline,correct,,7|1
c00237,A,i32,1,elem,nenull,print,1,inline,correct,,NUL|1
c00238,A,i32,1,elem,eqnull_else,print,0,inline,correct,,7|1
c00239,A,i32,1,elem,eqnull_else,print,1,inline,correct,,NUL|1
c00240,A,i32,1,elem,is_t,print,0,inline,correct,,7|1
c00241,A,i32,1,elem,is_t,print,1,inline,correct,,NUL|1
c00242,A,i32,1,elem,match_null,print,0,inline,correct,,7|1
c00243,A,i32,1,elem,match_null,print,1,inline,correct,,NUL|1
c00244,A,i32,1,elem,andguard,print,0,inline,correct,,true|1
c00245,A,i32,1,elem,andguard,print,1,inline,correct,,false|1
c00246,A,i32,1,elem,coalesce,print,0,inline,correct,,7|1
c00247,A,i32,1,elem,coalesce,print,1,inline,correct,,0|1
c00248,A,i32,1,elem,printdirect,print,0,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
c00249,A,i32,1,elem,printdirect,print,1,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",null|1
c00250,A,i32,1,elem,eqnullcmp,print,0,inline,correct,,false|1
c00251,A,i32,1,elem,eqnullcmp,print,1,inline,correct,,true|1
c00252,A,i32,1,elem,while_g,print,0,inline,correct,,7|1
c00253,A,i32,1,elem,while_g,print,1,inline,correct,,NUL|1
c00254,A,i32,1,mapval,nenull,print,0,inline,correct,,7|1
c00255,A,i32,1,mapval,nenull,print,1,inline,correct,,NUL|1
c00256,A,i32,1,mapval,eqnull_else,print,0,inline,correct,,7|1
c00257,A,i32,1,mapval,eqnull_else,print,1,inline,correct,,NUL|1
c00258,A,i32,1,mapval,is_t,print,0,inline,correct,,7|1
c00259,A,i32,1,mapval,is_t,print,1,inline,correct,,NUL|1
c00260,A,i32,1,mapval,match_null,print,0,inline,correct,,7|1
c00261,A,i32,1,mapval,match_null,print,1,inline,correct,,NUL|1
c00262,A,i32,1,mapval,andguard,print,0,inline,correct,,true|1
c00263,A,i32,1,mapval,andguard,print,1,inline,correct,,false|1
c00264,A,i32,1,mapval,coalesce,print,0,inline,correct,,7|1
c00265,A,i32,1,mapval,coalesce,print,1,inline,correct,,0|1
c00266,A,i32,1,mapval,printdirect,print,0,inline,loud_check_reject,"[ERROR]: print of a union value (i32??) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
c00267,A,i32,1,mapval,printdirect,print,1,inline,loud_check_reject,"[ERROR]: print of a union value (i32??) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",null|1
c00268,A,i32,1,mapval,eqnullcmp,print,0,inline,correct,,false|1
c00269,A,i32,1,mapval,eqnullcmp,print,1,inline,correct,,true|1
c00270,A,i32,1,mapval,while_g,print,0,inline,correct,,7|1
c00271,A,i32,1,mapval,while_g,print,1,inline,correct,,NUL|1
c00272,A,i32,1,capture,nenull,print,0,inline,invalid_wasm,"1: Invalid input WebAssembly code at offset 370: type mismatch: expected i32, found (ref $type)",7|1
c00273,A,i32,1,capture,nenull,print,1,inline,invalid_wasm,"1: Invalid input WebAssembly code at offset 367: type mismatch: expected i32, found (ref $type)",NUL|1
c00274,A,i32,1,capture,eqnull_else,print,0,inline,invalid_wasm,"1: Invalid input WebAssembly code at offset 418: type mismatch: expected i32, found (ref $type)",7|1
c00275,A,i32,1,capture,eqnull_else,print,1,inline,invalid_wasm,"1: Invalid input WebAssembly code at offset 415: type mismatch: expected i32, found (ref $type)",NUL|1
c00276,A,i32,1,capture,is_t,print,0,inline,loud_emit_reject,emitProgram: narrowed union binding is not a local or global,7|1
c00277,A,i32,1,capture,is_t,print,1,inline,loud_emit_reject,emitProgram: narrowed union binding is not a local or global,NUL|1
c00278,A,i32,1,capture,match_null,print,0,inline,loud_emit_reject,emitProgram: narrowed union binding is not a local or global,7|1
c00279,A,i32,1,capture,match_null,print,1,inline,loud_emit_reject,emitProgram: narrowed union binding is not a local or global,NUL|1
c00280,A,i32,1,capture,andguard,print,0,inline,invalid_wasm,"1: Invalid input WebAssembly code at offset 308: type mismatch: expected i32, found (ref $type)",true|1
c00281,A,i32,1,capture,andguard,print,1,inline,invalid_wasm,"1: Invalid input WebAssembly code at offset 305: type mismatch: expected i32, found (ref $type)",false|1
c00282,A,i32,1,capture,coalesce,print,0,inline,loud_emit_reject,emitProgram: narrowed union binding is not a local or global,7|1
c00283,A,i32,1,capture,coalesce,print,1,inline,loud_emit_reject,emitProgram: narrowed union binding is not a local or global,0|1
c00284,A,i32,1,capture,printdirect,print,0,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
c00285,A,i32,1,capture,printdirect,print,1,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",null|1
c00286,A,i32,1,capture,eqnullcmp,print,0,inline,correct,,false|1
c00287,A,i32,1,capture,eqnullcmp,print,1,inline,correct,,true|1
c00288,A,i32,1,capture,while_g,print,0,inline,invalid_wasm,"1: Invalid input WebAssembly code at offset 393: type mismatch: expected i32, found (ref $type)",7|1
c00289,A,i32,1,capture,while_g,print,1,inline,invalid_wasm,"1: Invalid input WebAssembly code at offset 390: type mismatch: expected i32, found (ref $type)",NUL|1
c00290,A,i32,1,loopvar,nenull,print,0,inline,correct,,7|1
c00291,A,i32,1,loopvar,nenull,print,1,inline,correct,,NUL|1
c00292,A,i32,1,loopvar,eqnull_else,print,0,inline,correct,,7|1
c00293,A,i32,1,loopvar,eqnull_else,print,1,inline,correct,,NUL|1
c00294,A,i32,1,loopvar,is_t,print,0,inline,correct,,7|1
c00295,A,i32,1,loopvar,is_t,print,1,inline,correct,,NUL|1
c00296,A,i32,1,loopvar,match_null,print,0,inline,correct,,7|1
c00297,A,i32,1,loopvar,match_null,print,1,inline,correct,,NUL|1
c00298,A,i32,1,loopvar,andguard,print,0,inline,correct,,true|1
c00299,A,i32,1,loopvar,andguard,print,1,inline,correct,,false|1
c00300,A,i32,1,loopvar,coalesce,print,0,inline,correct,,7|1
c00301,A,i32,1,loopvar,coalesce,print,1,inline,correct,,0|1
c00302,A,i32,1,loopvar,printdirect,print,0,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
c00303,A,i32,1,loopvar,printdirect,print,1,inline,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",null|1
c00304,A,i32,1,loopvar,eqnullcmp,print,0,inline,correct,,false|1
c00305,A,i32,1,loopvar,eqnullcmp,print,1,inline,correct,,true|1
c00306,A,i32,1,loopvar,while_g,print,0,inline,correct,,7|1
c00307,A,i32,1,loopvar,while_g,print,1,inline,correct,,NUL|1
c00308,A,i64,0,const_local,direct,print,0,inline,correct,,70|1
c00309,A,i64,0,const_local,direct,print,1,inline,correct,,80|1
c00310,A,i64,0,const_local,is_t,print,0,inline,correct,,70|1
c00311,A,i64,0,const_local,is_t,print,1,inline,correct,,80|1
c00312,A,i64,0,const_local,eqcmp,print,0,inline,correct,,true|1
c00313,A,i64,0,const_local,eqcmp,print,1,inline,correct,,false|1
c00314,A,i64,0,const_local,coalesce,print,0,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,70|1
c00315,A,i64,0,const_local,coalesce,print,1,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,80|1
c00316,A,i64,0,const_local,printdirect,print,0,inline,correct,,70|1
c00317,A,i64,0,const_local,printdirect,print,1,inline,correct,,80|1
c00318,A,i64,0,let_local,direct,print,0,inline,correct,,70|1
